,Cellstate,factor,value,cell_state_dendrogram,norm_abundance,cell_state_manual_sort
46,EC.Lymphatic,4,0.4129831636691174,26,-1.0506244949898995,10
47,EC.Lymphatic,5,0.0,26,0.0,10
48,EC.Lymphatic,6,0.0,26,0.0,10
49,EC.Venous.Pul,0,0.0,15,0.0,28
50,EC.Venous.Pul,1,0.0,15,0.0,28
51,EC.Venous.Pul,2,0.0,15,0.0,28
52,EC.Venous.Pul,3,0.2819584812726442,15,-1.074606385864739,28
53,EC.Venous.Pul,4,0.0,15,0.0,28
54,EC.Venous.Pul,5,0.2917189946420285,15,-1.074606385864739,28
55,EC.Venous.Pul,6,0.3179518485715813,15,-1.074606385864739,28
56,EC.Venous.Sys,0,0.0,25,0.0,24
57,EC.Venous.Sys,1,0.0,25,0.0,24
58,EC.Venous.Sys,2,0.0,25,0.0,24
59,EC.Venous.Sys,3,0.4666904712669051,25,0.0536867723477267,24
60,EC.Venous.Sys,4,0.0,25,0.0,24
61,EC.Venous.Sys,5,0.4425869985317874,25,0.0536867723477267,24
62,EC.Venous.Sys,6,0.0,25,0.0,24
63,EP.AT1,0,0.0,14,0.0,18
64,EP.AT1,1,0.26728263846438,14,0.23150346422207,18
65,EP.AT1,2,0.0,14,0.0,18
66,EP.AT1,3,0.0,14,0.0,18
67,EP.AT1,4,0.0,14,0.0,18
68,EP.AT1,5,0.0,14,0.0,18
69,EP.AT1,6,0.0,14,0.0,18
70,EP.AT2,0,0.0,24,0.0,23
71,EP.AT2,1,0.0,24,0.0,23
72,EP.AT2,2,0.0,24,0.0,23
73,EP.AT2,3,0.4110637286766924,24,0.4419218602059063,23
74,EP.AT2,4,0.0,24,0.0,23
75,EP.AT2,5,0.4939521858151121,24,0.4419218602059063,23
76,EP.AT2,6,0.0,24,0.0,23
77,EP.Ciliated,0,0.3802907032256302,21,-1.2047535824298146,5
78,EP.Ciliated,1,0.0,21,0.0,5
79,EP.Ciliated,2,0.0,21,0.0,5
80,EP.Ciliated,3,0.0,21,0.0,5
81,EP.Ciliated,4,0.0,21,0.0,5
82,EP.Ciliated,5,0.0,21,0.0,5
83,EP.Ciliated,6,0.0,21,0.0,5
84,EP.Secretory,0,0.0,7,0.0,11
85,EP.Secretory,1,0.0,7,0.0,11
86,EP.Secretory,2,0.5150589063816166,7,-0.444598472899503,11
87,EP.Secretory,3,0.0,7,0.0,11
88,EP.Secretory,4,0.2685807904860401,7,-0.444598472899503,11
89,EP.Secretory,5,0.0,7,0.0,11
90,EP.Secretory,6,0.0,7,0.0,11
91,FB.Adventitial,0,0.0,1,0.0,21
92,FB.Adventitial,1,0.0,1,0.0,21
93,FB.Adventitial,2,0.0,1,0.0,21
94,FB.Adventitial,3,0.5457478357010977,1,0.4456145750927215,21
95,FB.Adventitial,4,0.0,1,0.0,21
96,FB.Adventitial,5,0.3013768868505626,1,0.4456145750927215,21
97,FB.Adventitial,6,0.0,1,0.0,21
98,FB.Alveolar,0,0.513316456858846,2,-0.0631115917033202,1
99,FB.Alveolar,1,0.0,2,0.0,1
100,FB.Alveolar,2,0.0,2,0.0,1
101,FB.Alveolar,3,0.0,2,0.0,1
102,FB.Alveolar,4,0.0,2,0.0,1
103,FB.Alveolar,5,0.0,2,0.0,1
104,FB.Alveolar,6,0.0,2,0.0,1
105,FB.Basal,0,0.3487239989741726,16,-1.191041180908175,3
106,FB.Basal,1,0.0,16,0.0,3
107,FB.Basal,2,0.0,16,0.0,3
108,FB.Basal,3,0.0,16,0.0,3
109,FB.Basal,4,0.0,16,0.0,3
110,FB.Basal,5,0.0,16,0.0,3
111,FB.Basal,6,0.0,16,0.0,3
112,FB.Myofibroblast,0,0.0,29,0.0,19
113,FB.Myofibroblast,1,0.0,29,0.0,19
114,FB.Myofibroblast,2,0.0,29,0.0,19
115,FB.Myofibroblast,3,0.0,29,0.0,19
116,FB.Myofibroblast,4,0.0,29,0.0,19
117,FB.Myofibroblast,5,0.9589353250625132,29,0.4456337874903942,19
118,FB.Myofibroblast,6,0.0,29,0.0,19
119,Macro.Alv,0,0.0,8,0.0,22
120,Macro.Alv,1,0.0,8,0.0,22
121,Macro.Alv,2,0.0,8,0.0,22
122,Macro.Alv,3,0.4696482106160997,8,0.6565611558546678,22
123,Macro.Alv,4,0.0,8,0.0,22
124,Macro.Alv,5,0.5113373855076013,8,0.6565611558546678,22
125,Macro.Alv,6,0.0,8,0.0,22
126,Proliferating.MYE,0,0.3107353933263045,10,-1.2146004832051505,9
127,Proliferating.MYE,1,0.0,10,0.0,9
128,Proliferating.MYE,2,0.0,10,0.0,9
129,Proliferating.MYE,3,0.0,10,0.0,9
130,Proliferating.MYE,4,0.5591170060639427,10,-1.2146004832051505,9
131,Proliferating.MYE,5,0.0,10,0.0,9
132,Proliferating.MYE,6,0.0,10,0.0,9
133,Macro.Alv.Meta.CCL,0,0.0,17,0.0,13
134,Macro.Alv.Meta.CCL,1,0.5965989228995269,17,0.2929956496249865,13
135,Macro.Alv.Meta.CCL,2,0.0,17,0.0,13
136,Macro.Alv.Meta.CCL,3,0.0,17,0.0,13
137,Macro.Alv.Meta.CCL,4,0.0,17,0.0,13
138,Macro.Alv.Meta.CCL,5,0.0,17,0.0,13
139,Macro.Alv.Meta.CCL,6,0.0,17,0.0,13
140,Macro.CHIT1.like,0,0.0,13,0.0,30
141,Macro.CHIT1.like,1,0.0,13,0.0,30
142,Macro.CHIT1.like,2,0.6500740849811557,13,1.09765235471131,30
143,Macro.CHIT1.like,3,0.0,13,0.0,30
144,Macro.CHIT1.like,4,0.0,13,0.0,30
145,Macro.CHIT1.like,5,0.0,13,0.0,30
146,Macro.CHIT1.like,6,0.0,13,0.0,30
147,Macro.HSP,0,0.0,30,0.0,29
148,Macro.HSP,1,0.0,30,0.0,29
149,Macro.HSP,2,0.0,30,0.0,29
150,Macro.HSP,3,0.0,30,0.0,29
151,Macro.HSP,4,0.0,30,0.0,29
152,Macro.HSP,5,0.0,30,0.0,29
153,Macro.HSP,6,0.893006100912526,30,0.2750847367401055,29
154,Macro.IV,0,0.7007257064961098,9,-0.7476851529966627,8
155,Macro.IV,1,0.0,9,0.0,8
156,Macro.IV,2,0.0,9,0.0,8
157,Macro.IV,3,0.0,9,0.0,8
158,Macro.IV,4,0.2992742935038902,9,-0.7476851529966627,8
159,Macro.IV,5,0.0,9,0.0,8
160,Macro.IV,6,0.0,9,0.0,8
161,Monocyte,0,0.0,5,0.0,15
162,Monocyte,1,0.6529465750794534,5,-0.9989399427400292,15
163,Monocyte,2,0.0,5,0.0,15
164,Monocyte,3,0.0,5,0.0,15
165,Monocyte,4,0.0,5,0.0,15
166,Monocyte,5,0.0,5,0.0,15
167,Monocyte,6,0.0,5,0.0,15
168,Mast,0,0.5185913603005152,4,-0.8257209517892591,0
169,Mast,1,0.0,4,0.0,0
170,Mast,2,0.0,4,0.0,0
171,Mast,3,0.0,4,0.0,0
172,Mast,4,0.0,4,0.0,0
173,Mast,5,0.0,4,0.0,0
174,Mast,6,0.0,4,0.0,0
175,Mesothelial,0,0.2872116006569581,23,-1.1396358721867774,2
176,Mesothelial,1,0.0,23,0.0,2
177,Mesothelial,2,0.0,23,0.0,2
178,Mesothelial,3,0.0,23,0.0,2
179,Mesothelial,4,0.0,23,0.0,2
180,Mesothelial,5,0.0,23,0.0,2
181,Mesothelial,6,0.0,23,0.0,2
182,NK,0,0.5783670877139006,3,-0.6039561850199624,4
183,NK,1,0.0,3,0.0,4
184,NK,2,0.0,3,0.0,4
185,NK,3,0.0,3,0.0,4
186,NK,4,0.0,3,0.0,4
187,NK,5,0.0,3,0.0,4
188,NK,6,0.0,3,0.0,4
189,Pericytes,0,0.0,19,0.0,12
190,Pericytes,1,0.0,19,0.0,12
191,Pericytes,2,0.0,19,0.0,12
192,Pericytes,3,0.0,19,0.0,12
193,Pericytes,4,0.2504599867753566,19,0.665319125154263,12
194,Pericytes,5,0.0,19,0.0,12
195,Pericytes,6,0.0,19,0.0,12
196,Proliferating.T.NK,0,0.0,27,0.0,31
197,Proliferating.T.NK,1,0.0,27,0.0,31
198,Proliferating.T.NK,2,0.777777893801509,27,1.1194495572859366,31
199,Proliferating.T.NK,3,0.0,27,0.0,31
200,Proliferating.T.NK,4,0.0,27,0.0,31
201,Proliferating.T.NK,5,0.0,27,0.0,31
202,Proliferating.T.NK,6,0.0,27,0.0,31
203,T.CD4+,0,0.0,12,0.0,25
204,T.CD4+,1,0.0,12,0.0,25
205,T.CD4+,2,0.0,12,0.0,25
206,T.CD4+,3,0.6487810071632074,12,0.1234435715496455,25
207,T.CD4+,4,0.0,12,0.0,25
208,T.CD4+,5,0.0,12,0.0,25
209,T.CD4+,6,0.0,12,0.0,25
210,T.CD8+,0,0.0,20,0.0,20
211,T.CD8+,1,0.0,20,0.0,20
212,T.CD8+,2,0.0,20,0.0,20
213,T.CD8+,3,0.4963223424838682,20,0.2291065972591049,20
214,T.CD8+,4,0.0,20,0.0,20
215,T.CD8+,5,0.3393637760882556,20,0.2291065972591049,20
216,T.CD8+,6,0.0,20,0.0,20
217,Vascular.SMC,0,0.6417727767274527,28,-0.7793815600443565,7
218,Vascular.SMC,1,0.0,28,0.0,7
219,Vascular.SMC,2,0.2971467961998673,28,-0.7793815600443565,7
220,Vascular.SMC,3,0.0,28,0.0,7
221,Vascular.SMC,4,0.0,28,0.0,7
222,Vascular.SMC,5,0.0,28,0.0,7
223,Vascular.SMC,6,0.0,28,0.0,7
