,Cellstate,factor,value,cell_state_dendrogram,norm_abundance,cell_state_manual_sort
125,Macro.CHIT1.like,5,0.0,6,0.0,18
126,Macro.HSP,0,0.0,18,0.0,30
127,Macro.HSP,1,0.8226195944542403,18,-1.1822458822322437,30
128,Macro.HSP,2,0.0,18,0.0,30
129,Macro.HSP,3,0.0,18,0.0,30
130,Macro.HSP,4,0.0,18,0.0,30
131,Macro.HSP,5,0.0,18,0.0,30
132,Macro.IV,0,0.0,14,0.0,23
133,Macro.IV,1,0.0,14,0.0,23
134,Macro.IV,2,0.0,14,0.0,23
135,Macro.IV,3,0.0,14,0.0,23
136,Macro.IV,4,0.0,14,0.0,23
137,Macro.IV,5,0.8763137694345366,14,-0.8584446793209878,23
138,Monocyte,0,0.0,5,0.0,17
139,Monocyte,1,0.0,5,0.0,17
140,Monocyte,2,0.0,5,0.0,17
141,Monocyte,3,0.9159449971001534,5,0.1540563199464967,17
142,Monocyte,4,0.0,5,0.0,17
143,Monocyte,5,0.0,5,0.0,17
144,Mast,0,0.3849424263418962,22,-0.7272324352701047,2
145,Mast,1,0.0,22,0.0,2
146,Mast,2,0.0,22,0.0,2
147,Mast,3,0.0,22,0.0,2
148,Mast,4,0.3576381999191131,22,-0.7272324352701047,2
149,Mast,5,0.0,22,0.0,2
150,Mesothelial,0,0.4296877718941415,15,0.697636307447374,4
151,Mesothelial,1,0.0,15,0.0,4
152,Mesothelial,2,0.0,15,0.0,4
153,Mesothelial,3,0.0,15,0.0,4
154,Mesothelial,4,0.3179465113461098,15,0.697636307447374,4
155,Mesothelial,5,0.0,15,0.0,4
156,NK,0,0.0,26,0.0,25
157,NK,1,0.0,26,0.0,25
158,NK,2,0.0,26,0.0,25
159,NK,3,0.0,26,0.0,25
160,NK,4,0.0,26,0.0,25
161,NK,5,0.4543189186568276,26,-0.8641533381492934,25
162,Pericytes,0,0.0,29,0.0,22
163,Pericytes,1,0.0,29,0.0,22
164,Pericytes,2,0.0,29,0.0,22
165,Pericytes,3,0.0,29,0.0,22
166,Pericytes,4,0.3856139513247848,29,-1.3543458014744971,22
167,Pericytes,5,0.2978684434537464,29,-1.3543458014744971,22
168,Proliferating.T.NK,0,0.0,4,0.0,20
169,Proliferating.T.NK,1,0.0,4,0.0,20
170,Proliferating.T.NK,2,0.0,4,0.0,20
171,Proliferating.T.NK,3,0.6461417876801641,4,-1.288738462151325,20
172,Proliferating.T.NK,4,0.0,4,0.0,20
173,Proliferating.T.NK,5,0.0,4,0.0,20
174,T.CD4+,0,0.0,9,0.0,26
175,T.CD4+,1,0.0,9,0.0,26
176,T.CD4+,2,0.0,9,0.0,26
177,T.CD4+,3,0.0,9,0.0,26
178,T.CD4+,4,0.0,9,0.0,26
179,T.CD4+,5,0.3445391854884618,9,-1.0197845977815003,26
180,T.CD8+,0,0.0,21,0.0,31
181,T.CD8+,1,0.6041379224073324,21,-1.0302893361548404,31
182,T.CD8+,2,0.0,21,0.0,31
183,T.CD8+,3,0.0,21,0.0,31
184,T.CD8+,4,0.0,21,0.0,31
185,T.CD8+,5,0.0,21,0.0,31
186,Vascular.SMC,0,0.0,30,0.0,13
187,Vascular.SMC,1,0.0,30,0.0,13
188,Vascular.SMC,2,0.4159514987554707,30,-0.9359233037691164,13
189,Vascular.SMC,3,0.3230805430002548,30,-0.9359233037691164,13
190,Vascular.SMC,4,0.0,30,0.0,13
191,Vascular.SMC,5,0.0,30,0.0,13
