,Background,Celltype,value,cell_state_dendrogram_index,Percentage_roi_thresMean
97,EDAD,T.CD4+,-0.4302051016177422,13,0.3796296296296296
98,MDAD,T.CD4+,0.1234435715496455,13,0.7083333333333334
99,ODAD,T.CD4+,1.3265461278495971,13,0.7307692307692307
100,PRES,T.CD8+,-1.0302893361548404,2,0.238095238095238
101,EDAD,T.CD8+,-0.4840179116321287,2,0.4444444444444444
102,MDAD,T.CD8+,0.2291065972591049,2,0.5833333333333334
103,ODAD,T.CD8+,1.285200650527864,2,0.8269230769230769
104,PRES,B.Plasma.IgA,-1.1755471143962344,24,0.3333333333333333
105,EDAD,B.Plasma.IgA,-0.4127716510337865,24,0.4907407407407407
106,MDAD,B.Plasma.IgA,0.4889297186676272,24,0.5833333333333334
107,ODAD,B.Plasma.IgA,1.0993890467623932,24,0.7307692307692307
108,PRES,FB.Myofibroblast,-0.9824965827537396,7,0.4761904761904761
109,EDAD,FB.Myofibroblast,-0.6513512293664682,7,0.5370370370370371
110,MDAD,FB.Myofibroblast,0.4456337874903942,7,0.5416666666666666
111,ODAD,FB.Myofibroblast,1.188214024629814,7,0.6923076923076923
112,PRES,EP.AT2,-1.0355627059130126,25,0.3809523809523809
113,EDAD,EP.AT2,-0.5852539007576562,25,0.5
114,MDAD,EP.AT2,0.4419218602059063,25,0.5
115,ODAD,EP.AT2,1.1788947464647632,25,0.7884615384615384
116,PRES,FB.Adventitial,-1.0681261854613449,11,0.4285714285714285
117,EDAD,FB.Adventitial,-0.5451242943844672,11,0.4629629629629629
118,MDAD,FB.Adventitial,0.4456145750927215,11,0.75
119,ODAD,FB.Adventitial,1.1676359047530898,11,0.6730769230769231
120,PRES,B.Plasma.IgG,-0.6656650087924153,15,0.4285714285714285
121,EDAD,B.Plasma.IgG,-0.9206466006636844,15,0.4629629629629629
122,MDAD,B.Plasma.IgG,0.3182307203156778,15,0.5416666666666666
123,ODAD,B.Plasma.IgG,1.2680808891404212,15,0.7115384615384616
124,PRES,EC.Venous.Sys,-0.7854744991587896,3,0.5238095238095238
125,EDAD,EC.Venous.Sys,-0.6618198377511861,3,0.4537037037037037
126,MDAD,EC.Venous.Sys,0.0536867723477267,3,0.625
127,ODAD,EC.Venous.Sys,1.39360756456225,3,0.7307692307692307
