,Cellstate,factor,value,cell_state_dendrogram
81,Monocyte.2,0,0.3407385830563808,5
82,Monocyte.2,1,0.0,5
83,Monocyte.2,2,0.0,5
84,Monocyte.2,3,0.0,5
85,Monocyte.2,4,0.0,5
86,Monocyte.2,5,0.0,5
87,Monocyte.2,6,0.0,5
88,Monocyte.2,7,0.0,5
89,Monocyte.2,8,0.0,5
90,Monocyte.1,0,0.0,26
91,Monocyte.1,1,0.0,26
92,Monocyte.1,2,0.4187085390315579,26
93,Monocyte.1,3,0.0,26
94,Monocyte.1,4,0.0,26
95,Monocyte.1,5,0.5052337603146015,26
96,Monocyte.1,6,0.0,26
97,Monocyte.1,7,0.0,26
98,Monocyte.1,8,0.0,26
99,Th17,0,0.37656360913646686,20
100,Th17,1,0.0,20
101,Th17,2,0.0,20
102,Th17,3,0.0,20
103,Th17,4,0.0,20
104,Th17,5,0.0,20
105,Th17,6,0.0,20
106,Th17,7,0.0,20
107,Th17,8,0.0,20
108,EC.Capillary.1,0,0.0,21
109,EC.Capillary.1,1,0.0,21
110,EC.Capillary.1,2,0.0,21
111,EC.Capillary.1,3,0.0,21
112,EC.Capillary.1,4,0.0,21
113,EC.Capillary.1,5,0.0,21
114,EC.Capillary.1,6,0.0,21
115,EC.Capillary.1,7,0.5318176829298724,21
116,EC.Capillary.1,8,0.0,21
117,EC.Capillary.2,0,0.0,44
118,EC.Capillary.2,1,0.0,44
119,EC.Capillary.2,2,0.0,44
120,EC.Capillary.2,3,0.0,44
121,EC.Capillary.2,4,0.0,44
122,EC.Capillary.2,5,0.6619036272748746,44
123,EC.Capillary.2,6,0.0,44
124,EC.Capillary.2,7,0.0,44
125,EC.Capillary.2,8,0.0,44
126,EC.Capillary.3,0,0.0,9
127,EC.Capillary.3,1,0.0,9
128,EC.Capillary.3,2,0.0,9
129,EC.Capillary.3,3,0.0,9
130,EC.Capillary.3,4,0.0,9
131,EC.Capillary.3,5,0.0,9
132,EC.Capillary.3,6,0.0,9
133,EC.Capillary.3,7,0.0,9
134,EC.Capillary.3,8,0.3773214032463597,9
135,Neutrophil.2,0,0.0,11
136,Neutrophil.2,1,0.0,11
137,Neutrophil.2,2,0.43053346871199116,11
138,Neutrophil.2,3,0.0,11
139,Neutrophil.2,4,0.0,11
140,Neutrophil.2,5,0.42292656331376494,11
141,Neutrophil.2,6,0.0,11
142,Neutrophil.2,7,0.0,11
143,Neutrophil.2,8,0.0,11
144,M2.4,0,0.0,18
145,M2.4,1,0.0,18
146,M2.4,2,0.0,18
147,M2.4,3,0.0,18
148,M2.4,4,0.0,18
149,M2.4,5,0.48285646414036587,18
150,M2.4,6,0.0,18
151,M2.4,7,0.0,18
152,M2.4,8,0.0,18
153,pDC.1,0,0.0,43
154,pDC.1,1,0.0,43
155,pDC.1,2,0.0,43
156,pDC.1,3,0.0,43
157,pDC.1,4,0.6366568804708067,43
158,pDC.1,5,0.0,43
159,pDC.1,6,0.0,43
160,pDC.1,7,0.0,43
161,pDC.1,8,0.0,43
162,cDC,0,0.5236090352989231,4
163,cDC,1,0.0,4
164,cDC,2,0.0,4
165,cDC,3,0.0,4
166,cDC,4,0.0,4
167,cDC,5,0.0,4
168,cDC,6,0.0,4
169,cDC,7,0.0,4
170,cDC,8,0.0,4
171,CTL.1,0,0.0,32
172,CTL.1,1,0.0,32
173,CTL.1,2,0.0,32
174,CTL.1,3,0.0,32
175,CTL.1,4,0.0,32
176,CTL.1,5,0.0,32
177,CTL.1,6,0.0,32
178,CTL.1,7,0.0,32
179,CTL.1,8,0.38936912255371936,32
180,M2.3,0,0.0,7
181,M2.3,1,0.0,7
182,M2.3,2,0.0,7
183,M2.3,3,0.5508520438599711,7
184,M2.3,4,0.0,7
185,M2.3,5,0.0,7
186,M2.3,6,0.0,7
187,M2.3,7,0.4491479561400288,7
188,M2.3,8,0.0,7
189,EP.Transitional,0,0.0,42
190,EP.Transitional,1,0.0,42
191,EP.Transitional,2,0.0,42
192,EP.Transitional,3,0.36280188445398687,42
193,EP.Transitional,4,0.0,42
194,EP.Transitional,5,0.0,42
195,EP.Transitional,6,0.0,42
196,EP.Transitional,7,0.45021887463490246,42
197,EP.Transitional,8,0.0,42
198,FB.Immune.2,0,0.0,45
199,FB.Immune.2,1,0.0,45
200,FB.Immune.2,2,0.0,45
201,FB.Immune.2,3,0.0,45
202,FB.Immune.2,4,0.0,45
203,FB.Immune.2,5,0.0,45
204,FB.Immune.2,6,0.0,45
205,FB.Immune.2,7,0.0,45
206,FB.Immune.2,8,0.4010686238949464,45
207,FB.Immune.1,0,0.0,33
208,FB.Immune.1,1,0.0,33
209,FB.Immune.1,2,0.0,33
210,FB.Immune.1,3,0.0,33
211,FB.Immune.1,4,0.0,33
212,FB.Immune.1,5,0.6068742342528294,33
213,FB.Immune.1,6,0.0,33
214,FB.Immune.1,7,0.0,33
215,FB.Immune.1,8,0.0,33
216,FB.Lipofibroblast,0,0.0,35
217,FB.Lipofibroblast,1,0.0,35
218,FB.Lipofibroblast,2,0.0,35
219,FB.Lipofibroblast,3,0.0,35
220,FB.Lipofibroblast,4,0.0,35
221,FB.Lipofibroblast,5,0.0,35
222,FB.Lipofibroblast,6,0.0,35
223,FB.Lipofibroblast,7,0.0,35
224,FB.Lipofibroblast,8,0.5859449862955151,35
225,FB.Adventitial,0,0.0,16
226,FB.Adventitial,1,0.0,16
227,FB.Adventitial,2,0.0,16
228,FB.Adventitial,3,0.0,16
229,FB.Adventitial,4,0.0,16
230,FB.Adventitial,5,0.0,16
231,FB.Adventitial,6,0.0,16
232,FB.Adventitial,7,0.4024850664635724,16
233,FB.Adventitial,8,0.0,16
234,FB.Alveolar,0,0.0,29
235,FB.Alveolar,1,0.0,29
236,FB.Alveolar,2,0.0,29
237,FB.Alveolar,3,0.0,29
238,FB.Alveolar,4,0.0,29
239,FB.Alveolar,5,0.0,29
240,FB.Alveolar,6,0.0,29
241,FB.Alveolar,7,0.3980220733930186,29
242,FB.Alveolar,8,0.0,29
243,FB.Pathological.1,0,0.0,23
244,FB.Pathological.1,1,0.0,23
245,FB.Pathological.1,2,0.0,23
246,FB.Pathological.1,3,0.0,23
247,FB.Pathological.1,4,0.0,23
248,FB.Pathological.1,5,0.0,23
249,FB.Pathological.1,6,0.0,23
250,FB.Pathological.1,7,0.4411368823359885,23
251,FB.Pathological.1,8,0.0,23
252,FB.Pathological.2,0,0.0,13
253,FB.Pathological.2,1,0.0,13
254,FB.Pathological.2,2,0.0,13
255,FB.Pathological.2,3,0.0,13
256,FB.Pathological.2,4,0.0,13
257,FB.Pathological.2,5,0.0,13
258,FB.Pathological.2,6,0.0,13
259,FB.Pathological.2,7,0.0,13
260,FB.Pathological.2,8,0.5724347410085334,13
261,Neutrophil.1,0,0.0,39
262,Neutrophil.1,1,0.0,39
263,Neutrophil.1,2,0.0,39
264,Neutrophil.1,3,0.0,39
265,Neutrophil.1,4,0.0,39
266,Neutrophil.1,5,0.33422495474885555,39
267,Neutrophil.1,6,0.0,39
268,Neutrophil.1,7,0.0,39
269,Neutrophil.1,8,0.0,39
270,M2.5,0,0.0,0
271,M2.5,1,0.0,0
272,M2.5,2,0.34253172126220705,0
273,M2.5,3,0.0,0
274,M2.5,4,0.0,0
275,M2.5,5,0.0,0
276,M2.5,6,0.0,0
277,M2.5,7,0.0,0
278,M2.5,8,0.0,0
279,FB.Other,0,0.0,31
280,FB.Other,1,0.0,31
281,FB.Other,2,0.0,31
282,FB.Other,3,0.0,31
283,FB.Other,4,0.0,31
284,FB.Other,5,0.6566392961392002,31
285,FB.Other,6,0.0,31
286,FB.Other,7,0.0,31
287,FB.Other,8,0.0,31
288,EC.Lymphatic,0,0.3773271191725687,10
289,EC.Lymphatic,1,0.0,10
290,EC.Lymphatic,2,0.0,10
291,EC.Lymphatic,3,0.0,10
292,EC.Lymphatic,4,0.0,10
293,EC.Lymphatic,5,0.0,10
294,EC.Lymphatic,6,0.0,10
295,EC.Lymphatic,7,0.0,10
296,EC.Lymphatic,8,0.0,10
297,MastCell,0,0.36586516785293194,15
298,MastCell,1,0.0,15
299,MastCell,2,0.0,15
300,MastCell,3,0.0,15
301,MastCell,4,0.0,15
302,MastCell,5,0.0,15
303,MastCell,6,0.0,15
304,MastCell,7,0.0,15
305,MastCell,8,0.0,15
306,Mesothelial.like,0,0.0,24
307,Mesothelial.like,1,0.0,24
308,Mesothelial.like,2,0.0,24
309,Mesothelial.like,3,0.0,24
310,Mesothelial.like,4,0.0,24
311,Mesothelial.like,5,0.0,24
312,Mesothelial.like,6,0.0,24
313,Mesothelial.like,7,0.3745067862768522,24
314,Mesothelial.like,8,0.0,24
315,FB.Activated,0,0.7459176203402652,14
316,FB.Activated,1,0.0,14
317,FB.Activated,2,0.0,14
318,FB.Activated,3,0.0,14
319,FB.Activated,4,0.0,14
320,FB.Activated,5,0.0,14
321,FB.Activated,6,0.0,14
322,FB.Activated,7,0.0,14
323,FB.Activated,8,0.0,14
324,PC,0,0.0,28
325,PC,1,0.0,28
326,PC,2,0.0,28
327,PC,3,0.0,28
328,PC,4,0.0,28
329,PC,5,0.0,28
330,PC,6,0.0,28
331,PC,7,0.5656853492761572,28
332,PC,8,0.0,28
333,PlasmaCell.1,0,0.0,37
334,PlasmaCell.1,1,0.0,37
335,PlasmaCell.1,2,0.0,37
336,PlasmaCell.1,3,0.0,37
337,PlasmaCell.1,4,0.0,37
338,PlasmaCell.1,5,0.0,37
339,PlasmaCell.1,6,0.0,37
340,PlasmaCell.1,7,0.0,37
341,PlasmaCell.1,8,0.6514610054302833,37
342,PlasmaCell.2,0,0.0,22
343,PlasmaCell.2,1,0.0,22
344,PlasmaCell.2,2,0.0,22
345,PlasmaCell.2,3,0.0,22
346,PlasmaCell.2,4,0.0,22
347,PlasmaCell.2,5,0.0,22
348,PlasmaCell.2,6,0.0,22
349,PlasmaCell.2,7,0.0,22
350,PlasmaCell.2,8,0.6215315097263098,22
351,pDC.2,0,0.0,19
352,pDC.2,1,0.0,19
353,pDC.2,2,0.0,19
354,pDC.2,3,0.0,19
355,pDC.2,4,0.0,19
356,pDC.2,5,0.6454870124386866,19
357,pDC.2,6,0.0,19
358,pDC.2,7,0.0,19
359,pDC.2,8,0.0,19
360,PR.Epithelial,0,0.0,38
361,PR.Epithelial,1,0.0,38
362,PR.Epithelial,2,0.0,38
363,PR.Epithelial,3,0.0,38
364,PR.Epithelial,4,0.0,38
365,PR.Epithelial,5,0.0,38
366,PR.Epithelial,6,0.5390874943633612,38
367,PR.Epithelial,7,0.0,38
368,PR.Epithelial,8,0.0,38
369,PR.B.Plasma,0,0.0,30
370,PR.B.Plasma,1,0.6855448530879276,30
371,PR.B.Plasma,2,0.0,30
372,PR.B.Plasma,3,0.0,30
373,PR.B.Plasma,4,0.0,30
374,PR.B.Plasma,5,0.0,30
375,PR.B.Plasma,6,0.0,30
376,PR.B.Plasma,7,0.0,30
377,PR.B.Plasma,8,0.0,30
378,PR.T.NK,0,0.33808353376867245,2
379,PR.T.NK,1,0.0,2
380,PR.T.NK,2,0.0,2
381,PR.T.NK,3,0.0,2
382,PR.T.NK,4,0.0,2
383,PR.T.NK,5,0.0,2
384,PR.T.NK,6,0.0,2
385,PR.T.NK,7,0.0,2
386,PR.T.NK,8,0.0,2
387,NK.4,0,0.37279671350233423,40
388,NK.4,1,0.0,40
389,NK.4,2,0.0,40
390,NK.4,3,0.0,40
391,NK.4,4,0.0,40
392,NK.4,5,0.0,40
393,NK.4,6,0.0,40
394,NK.4,7,0.0,40
395,NK.4,8,0.0,40
396,EP.Secretory.1,0,0.38940574033575553,3
397,EP.Secretory.1,1,0.0,3
398,EP.Secretory.1,2,0.0,3
399,EP.Secretory.1,3,0.0,3
400,EP.Secretory.1,4,0.0,3
401,EP.Secretory.1,5,0.0,3
402,EP.Secretory.1,6,0.5941097394027997,3
403,EP.Secretory.1,7,0.0,3
404,EP.Secretory.1,8,0.0,3
405,EP.Secretory.2,0,0.38508709427141197,17
406,EP.Secretory.2,1,0.0,17
407,EP.Secretory.2,2,0.0,17
408,EP.Secretory.2,3,0.0,17
409,EP.Secretory.2,4,0.0,17
410,EP.Secretory.2,5,0.0,17
411,EP.Secretory.2,6,0.0,17
412,EP.Secretory.2,7,0.0,17
413,EP.Secretory.2,8,0.0,17
414,M2.1,0,0.0,1
415,M2.1,1,0.0,1
416,M2.1,2,0.0,1
417,M2.1,3,0.0,1
418,M2.1,4,0.0,1
419,M2.1,5,0.0,1
420,M2.1,6,0.0,1
421,M2.1,7,0.5420703331618024,1
422,M2.1,8,0.0,1
423,EC.Venous,0,0.0,41
424,EC.Venous,1,0.0,41
425,EC.Venous,2,0.0,41
426,EC.Venous,3,0.0,41
427,EC.Venous,4,0.0,41
428,EC.Venous,5,0.0,41
429,EC.Venous,6,0.0,41
430,EC.Venous,7,0.5799980801473509,41
431,EC.Venous,8,0.0,41
